repeatcount,claimstotal,defemail,password
1,53,CMC_PTDef_16XZuGe@mailinator.com,Pa55word11
1,54,CMC_PTDef_22jzpnf@mailinator.com,Pa55word11
1,54,CMC_PTDef_11ygrke@mailinator.com,Pa55word11
1,63,CMC_PTDef_8VHCVq@mailinator.com,Pa55word11
1,64,CMC_PTDef_1LeiMS@mailinator.com,Pa55word11
1,69,CMC_PTDef_5ggVMV@mailinator.com,Pa55word11
1,106,CMC_PTDef_9IIfKp@mailinator.com,Pa55word11
1,122,CMC_PTDef_1Jetrc@mailinator.com,Pa55word11
1,124,CMC_PTDef_6RZVIJ@mailinator.com,Pa55word11
1,139,CMC_PTDef_26GjOmR@mailinator.com,Pa55word11
1,143,CMC_PTDef_7lkpSw@mailinator.com,Pa55word11
1,145,CMC_PTDef_21ihJsq@mailinator.com,Pa55word11
1,0,CMC_PTDef_6mVlEm@mailinator.com,Pa55word11
1,0,CMC_PTDef_25uHFsN@mailinator.com,Pa55word11
1,0,CMC_PTDef_23fIdTr@mailinator.com,Pa55word11
1,0,CMC_PTDef_18WVVpd@mailinator.com,Pa55word11
1,0,CMC_PTDef_3EeMVl@mailinator.com,Pa55word11
1,0,CMC_PTDef_10ytWWO@mailinator.com,Pa55word11
1,0,CMC_PTDef_9mTMpu@mailinator.com,Pa55word11

