claimno,pin,defuser
031MC938,GTQ796HV,CMC_PTDef_16XZuGe@mailinator.com,CMC_PTHC_10dEhIb@mailinator.com
031MC939,9CKJMWVN,CMC_PTDef_11ygrke@mailinator.com,CMC_PTHC_26FSBKY@mailinator.com
031MC940,WANHJ47Y,CMC_PTDef_22jzpnf@mailinator.com,CMC_PTHC_26VFwsE@mailinator.com
031MC941,37VQJ4D7,CMC_PTDef_8VHCVq@mailinator.com,CMC_PTHC_4NFqqD@mailinator.com
031MC942,BQ6HX6JQ,CMC_PTDef_1LeiMS@mailinator.com,CMC_PTHC_22JqUnX@mailinator.com
031MC943,TJW83Y83,CMC_PTDef_5ggVMV@mailinator.com,CMC_PTHC_10bUzYN@mailinator.com
031MC944,5XEQ3TQJ,CMC_PTDef_9IIfKp@mailinator.com,CMC_PTHC_2HgGqP@mailinator.com
031MC945,Q65VQQSW,CMC_PTDef_1Jetrc@mailinator.com,CMC_PTHC_10FfUth@mailinator.com
031MC946,49YHSN79,CMC_PTDef_6RZVIJ@mailinator.com,CMC_PTHC_28kFsxv@mailinator.com
031MC947,85K9SQQD,CMC_PTDef_26GjOmR@mailinator.com,CMC_PTHC_8XaCmP@mailinator.com
031MC948,N5QWQS5B,CMC_PTDef_7lkpSw@mailinator.com,CMC_PTHC_12AeFKQ@mailinator.com
031MC949,VGADBA4G,CMC_PTDef_21ihJsq@mailinator.com,CMC_PTHC_10YhzBu@mailinator.com
031MC950,WETWEPDD,CMC_PTDef_6mVlEm@mailinator.com,CMC_PTHC_12HnXii@mailinator.com
031MC951,W7KQSKF9,CMC_PTDef_25uHFsN@mailinator.com,CMC_PTHC_19wxykP@mailinator.com
031MC952,UKUYQ59G,CMC_PTDef_23fIdTr@mailinator.com,CMC_PTHC_18Lmqsq@mailinator.com
031MC953,EN5MRDXA,CMC_PTDef_18WVVpd@mailinator.com,CMC_PTHC_23WVeFZ@mailinator.com
031MC954,6MUFDHPN,CMC_PTDef_3EeMVl@mailinator.com,CMC_PTHC_6wBBSK@mailinator.com
031MC955,KJPSUES6,CMC_PTDef_10ytWWO@mailinator.com,CMC_PTHC_9qmAya@mailinator.com
031MC956,WMSGDN5M,CMC_PTDef_9mTMpu@mailinator.com,CMC_PTHC_9CNVLk@mailinator.com
031MC958,54GAFQYC,CMC_PTDef_16XZuGe@mailinator.com,CMC_PTHC_1hJztL@mailinator.com
031MC959,76XCAJ9J,CMC_PTDef_22jzpnf@mailinator.com,CMC_PTHC_11QDXjT@mailinator.com
031MC960,FQKBY8J5,CMC_PTDef_11ygrke@mailinator.com,CMC_PTHC_3gntiX@mailinator.com
031MC961,JKCH7F6J,CMC_PTDef_8VHCVq@mailinator.com,CMC_PTHC_10ljIeJ@mailinator.com
031MC962,8H7G9QE9,CMC_PTDef_1LeiMS@mailinator.com,CMC_PTHC_5mUukP@mailinator.com
031MC963,UEN4UQQA,CMC_PTDef_5ggVMV@mailinator.com,CMC_PTHC_13lwWsy@mailinator.com
031MC964,KN7VKYX7,CMC_PTDef_9IIfKp@mailinator.com,CMC_PTHC_19LsWEd@mailinator.com
031MC965,84XXB9YS,CMC_PTDef_1Jetrc@mailinator.com,CMC_PTHC_8tiKCU@mailinator.com
031MC966,EVTMU8QF,CMC_PTDef_6RZVIJ@mailinator.com,CMC_PTHC_15nbDGn@mailinator.com
031MC947,85K9SQQD,CMC_PTDef_26GjOmR@mailinator.com,CMC_PTHC_2OXlTZ@mailinator.com
031MC968,GCB9XG4D,CMC_PTDef_7lkpSw@mailinator.com,CMC_PTHC_9OqZqA@mailinator.com
031MC969,896HUUMC,CMC_PTDef_21ihJsq@mailinator.com,CMC_PTHC_28iloeR@mailinator.com
031MC950,WETWEPDD,CMC_PTDef_6mVlEm@mailinator.com,CMC_PTHC_17FnhVt@mailinator.com
031MC971,AUTWYD69,CMC_PTDef_25uHFsN@mailinator.com,CMC_PTHC_3fpgyY@mailinator.com
031MC972,QWPPNTEU,CMC_PTDef_23fIdTr@mailinator.com,CMC_PTHC_15SVitN@mailinator.com
031MC973,74YCNMMV,CMC_PTDef_18WVVpd@mailinator.com,CMC_PTHC_6fXgNH@mailinator.com
031MC974,MAK9QKC7,CMC_PTDef_3EeMVl@mailinator.com,CMC_PTHC_20XhwIm@mailinator.com
031MC975,3KMBKNK5,CMC_PTDef_10ytWWO@mailinator.com,CMC_PTHC_28bEcVz@mailinator.com
031MC976,Q6QSFM54,CMC_PTDef_9mTMpu@mailinator.com,CMC_PTHC_15CmjZe@mailinator.com
031MC978,FWSHXKN8,CMC_PTDef_16XZuGe@mailinator.com,CMC_PTHC_21WMtwW@mailinator.com
031MC979,3PUASSDT,CMC_PTDef_22jzpnf@mailinator.com,CMC_PTHC_20ccWbh@mailinator.com
031MC980,5VFCK4DK,CMC_PTDef_11ygrke@mailinator.com,CMC_PTHC_20RKfDa@mailinator.com
031MC981,VRGY9WBU,CMC_PTDef_8VHCVq@mailinator.com,CMC_PTHC_5GfXVg@mailinator.com
031MC982,EG3DNER8,CMC_PTDef_1LeiMS@mailinator.com,CMC_PTHC_22icAFw@mailinator.com
031MC983,MY6NUP7K,CMC_PTDef_9IIfKp@mailinator.com,CMC_PTHC_5iTTfK@mailinator.com
031MC984,JCS5K7N9,CMC_PTDef_5ggVMV@mailinator.com,CMC_PTHC_27yYspS@mailinator.com
031MC985,WGHKG7HU,CMC_PTDef_1Jetrc@mailinator.com,CMC_PTHC_7NAsDK@mailinator.com
031MC986,V6NWDKAX,CMC_PTDef_6RZVIJ@mailinator.com,CMC_PTHC_15vOoJR@mailinator.com
031MC987,W3QKB7AP,CMC_PTDef_26GjOmR@mailinator.com,CMC_PTHC_2GKEAK@mailinator.com
031MC968,GCB9XG4D,CMC_PTDef_7lkpSw@mailinator.com,CMC_PTHC_2TTvMV@mailinator.com
031MC969,896HUUMC,CMC_PTDef_21ihJsq@mailinator.com,CMC_PTHC_25akUHv@mailinator.com
031MC990,3DNFF7JS,CMC_PTDef_6mVlEm@mailinator.com,CMC_PTHC_11FChjg@mailinator.com
031MC991,ASDJRXM7,CMC_PTDef_25uHFsN@mailinator.com,CMC_PTHC_7WgIjc@mailinator.com
031MC992,RXR8C37K,CMC_PTDef_23fIdTr@mailinator.com,CMC_PTHC_18KSyeZ@mailinator.com
031MC993,XAEDTGF7,CMC_PTDef_18WVVpd@mailinator.com,CMC_PTHC_26mvzFx@mailinator.com
031MC994,R7FCENU8,CMC_PTDef_3EeMVl@mailinator.com,CMC_PTHC_11SCasn@mailinator.com
031MC995,6T4RMSSV,CMC_PTDef_10ytWWO@mailinator.com,CMC_PTHC_18kXxay@mailinator.com
031MC996,D4FRSAU3,CMC_PTDef_9mTMpu@mailinator.com,CMC_PTHC_15YBloZ@mailinator.com
031MC998,N6N5NF3C,CMC_PTDef_16XZuGe@mailinator.com,CMC_PTHC_2eJQUL@mailinator.com
031MC999,H6VJEEEH,CMC_PTDef_22jzpnf@mailinator.com,CMC_PTHC_2vggBQ@mailinator.com
032MC000,WUJQ6W5N,CMC_PTDef_11ygrke@mailinator.com,CMC_PTHC_12DzQQi@mailinator.com
032MC001,A6JD6YYR,CMC_PTDef_8VHCVq@mailinator.com,CMC_PTHC_28jjecV@mailinator.com
032MC002,4JYX3RD4,CMC_PTDef_1LeiMS@mailinator.com,CMC_PTHC_15Gcusr@mailinator.com
032MC003,4U7DQ6F4,CMC_PTDef_5ggVMV@mailinator.com,CMC_PTHC_5yjIhl@mailinator.com
032MC004,EKU64EVQ,CMC_PTDef_9IIfKp@mailinator.com,CMC_PTHC_27TdOfz@mailinator.com
