claimstotal,defemail,password
132,CMC_PTDef_26GjOmR@mailinator.com,Pa55word11
133,CMC_PTDef_26cbjwT@mailinator.com,Pa55word11
133,CMC_PTDef_18XMDAR@mailinator.com,Pa55word11
135,CMC_PTDef_28GDqjO@mailinator.com,Pa55word11
136,CMC_PTDef_20xcFSI@mailinator.com,Pa55word11
136,CMC_PTDef_7lkpSw@mailinator.com,Pa55word11
137,CMC_PTDef_13sjzpR@mailinator.com,Pa55word11
137,CMC_PTDef_21ihJsq@mailinator.com,Pa55word11
137,CMC_PTDef_7nnSkX@mailinator.com,Pa55word11
138,CMC_PTDef_23QXjPo@mailinator.com,Pa55word11
140,CMC_PTDef_5GGirf@mailinator.com,Pa55word11
140,CMC_PTDef_7pGCfe@mailinator.com,Pa55word11
142,CMC_PTDef_21DVyrD@mailinator.com,Pa55word11
143,CMC_PTDef_3WXlZT@mailinator.com,Pa55word11
146,CMC_PTDef_11rrGIx@mailinator.com,Pa55word11
147,CMC_PTDef_19UXEND@mailinator.com,Pa55word11
153,CMC_PTDef_18cyidA@mailinator.com,Pa55word11
153,CMC_PTDef_3GGmaB@mailinator.com,Pa55word11
158,CMC_PTDef_21qtEsi@mailinator.com,Pa55word11
158,CMC_PTDef_8ZHEhh@mailinator.com,Pa55word11
160,CMC_PTDef_3kuoJM@mailinator.com,Pa55word11
163,CMC_PTDef_5xqpEO@mailinator.com,Pa55word11
164,CMC_PTDef_9oygOi@mailinator.com,Pa55word11
165,CMC_PTDef_15rTiUA@mailinator.com,Pa55word11
166,CMC_PTDef_27uNVyp@mailinator.com,Pa55word11
168,CMC_PTDef_25USYTR@mailinator.com,Pa55word11
170,CMC_PTDef_10bnULP@mailinator.com,Pa55word11
171,CMC_PTDef_7qvAiK@mailinator.com,Pa55word11
171,CMC_PTDef_8eApCS@mailinator.com,Pa55word11
171,CMC_PTDef_15OpZby@mailinator.com,Pa55word11
172,CMC_PTDef_2HODFL@mailinator.com,Pa55word11
178,CMC_PTDef_15jXxkN@mailinator.com,Pa55word11
182,CMC_PTDef_26zzrwg@mailinator.com,Pa55word11
232,CMC_PTDef_27kJNlA@mailinator.com,Pa55word11
